DATE,USD1MTD156N
2005-01-04,2.40000
2005-01-05,2.40000
2005-01-06,2.42000
2005-01-07,2.43000
2005-01-10,2.44000
2005-01-11,2.44250
2005-01-12,2.45000
2005-01-13,2.48000
2005-01-14,2.48000
2005-01-17,2.50000
2005-01-18,2.50000
2005-01-19,2.50375
2005-01-20,2.52000
2005-01-21,2.53000
2005-01-24,2.54438
2005-01-25,2.55000
2005-01-26,2.55875
2005-01-27,2.57750
2005-01-28,2.59000
2005-01-31,2.59000
2005-02-01,2.59000
2005-02-02,2.59000
2005-02-03,2.59000
2005-02-04,2.59000
2005-02-07,2.59000
2005-02-08,2.59000
2005-02-09,2.59000
2005-02-10,2.59000
2005-02-11,2.59000
2005-02-14,2.59000
2005-02-15,2.59000
2005-02-16,2.59000
2005-02-17,2.59813
2005-02-18,2.59938
2005-02-21,2.61000
2005-02-22,2.62000
2005-02-23,2.65000
2005-02-24,2.67000
2005-02-25,2.69000
2005-02-28,2.71625
2005-03-01,2.72000
2005-03-02,2.72000
2005-03-03,2.74563
2005-03-04,2.75000
2005-03-07,2.76000
2005-03-08,2.77000
2005-03-09,2.77125
2005-03-10,2.80000
2005-03-11,2.81000
2005-03-14,2.82000
2005-03-15,2.83000
2005-03-16,2.83375
2005-03-17,2.85000
2005-03-18,2.85000
2005-03-21,2.85000
2005-03-22,2.85000
2005-03-23,2.85000
2005-03-24,2.85000
2005-03-25,.
2005-03-28,.
2005-03-29,2.85000
2005-03-30,2.86000
2005-03-31,2.87000
2005-04-01,2.87000
2005-04-04,2.87063
2005-04-05,2.89000
2005-04-06,2.89125
2005-04-07,2.91000
2005-04-08,2.92000
2005-04-11,2.93000
2005-04-12,2.95000
2005-04-13,2.95375
2005-04-14,2.97000
2005-04-15,2.98000
2005-04-18,2.99000
2005-04-19,3.00000
2005-04-20,3.00063
2005-04-21,3.02000
2005-04-22,3.03000
2005-04-25,3.04000
2005-04-26,3.06000
2005-04-27,3.06438
2005-04-28,3.08125
2005-04-29,3.08875
2005-05-02,.
2005-05-03,3.09000
2005-05-04,3.09000
2005-05-05,3.09000
2005-05-06,3.09000
2005-05-09,3.09000
2005-05-10,3.09000
2005-05-11,3.09000
2005-05-12,3.09000
2005-05-13,3.09000
2005-05-16,3.09000
2005-05-17,3.09000
2005-05-18,3.09000
2005-05-19,3.09000
2005-05-20,3.09000
2005-05-23,3.09000
2005-05-24,3.09000
2005-05-25,3.09063
2005-05-26,3.10063
2005-05-27,3.11125
2005-05-30,.
2005-05-31,3.13000
2005-06-01,3.14000
2005-06-02,3.15000
2005-06-03,3.16000
2005-06-06,3.17000
2005-06-07,3.18375
2005-06-08,3.19000
2005-06-09,3.21000
2005-06-10,3.21625
2005-06-13,3.22000
2005-06-14,3.23625
2005-06-15,3.24000
2005-06-16,3.26000
2005-06-17,3.27000
2005-06-20,3.28000
2005-06-21,3.30000
2005-06-22,3.30000
2005-06-23,3.31438
2005-06-24,3.32000
2005-06-27,3.32563
2005-06-28,3.33000
2005-06-29,3.34000
2005-06-30,3.34000
2005-07-01,3.34000
2005-07-04,3.34000
2005-07-05,3.34000
2005-07-06,3.34000
2005-07-07,3.35000
2005-07-08,3.36000
2005-07-11,3.38000
2005-07-12,3.38000
2005-07-13,3.38813
2005-07-14,3.40875
2005-07-15,3.41688
2005-07-18,3.43000
2005-07-19,3.43250
2005-07-20,3.43813
2005-07-21,3.46000
2005-07-22,3.46375
2005-07-25,3.48000
2005-07-26,3.48125
2005-07-27,3.49000
2005-07-28,3.51000
2005-07-29,3.51875
