,keys,CPI,CPI_E,SP500,NASDAQ
0,2008-03-01,213.448,149.993,1310.46997067,2235.266683
1,2013-05-01,231.895,160.51,1644.50333633,3471.57666033
2,2014-08-01,237.163,165.932,1920.466634,4353.639974
3,2010-11-01,219.59,155.761,1214.95666533,2565.53002933
4,2007-06-01,207.234,146.816,1512.52998867,2601.959961
5,2015-05-01,236.876,168.981,2127.57674167,5083.96337867
6,2009-11-01,217.234,154.075,1093.07666,2161.26660167
7,2008-03-01,213.448,149.993,1327.36999533,2288.790039
8,2013-03-01,232.313,160.553,1516.28999833,3164.06331367
9,2012-03-01,228.894,157.287,1400.35001633,3050.78670233
10,2014-06-01,237.016,165.117,1936.72001133,4313.40332033
11,2008-01-01,212.174,149.404,1343.879964,2360.50333667
12,2013-08-01,233.249,162.856,1700.756673,3663.900065
13,2007-03-01,205.288,147.279,1398.899984,2383.30664067
14,2014-03-01,235.897,164.024,1876.29337567,4348.77343767
15,2007-10-01,209.19,148.219,1527.31665033,2772.37996433
16,2011-08-01,226.106,158.099,1157.40336133,2460.569987
17,2007-09-01,208.547,146.834,1468.13004567,2595.32332333
18,2013-04-01,231.856,159.256,1589.983317,3297.45328767
19,2013-12-01,234.847,163.864,1836.182495,4157.022461
20,2011-09-01,226.597,157.549,1147.626709,2462.57999667
21,2011-08-01,226.106,158.099,1152.69002267,2411.25
22,2009-09-01,215.861,154.168,1036.40750125,2065.76995875
23,2015-09-01,237.489,168.254,1951.79337567,4791.706543
24,2015-09-01,237.489,168.254,1934.113322,4724.57340467
25,2011-09-01,226.597,157.549,1144.250041,2492.363281
26,2011-06-01,224.806,157.685,1279.69665533,2669.60994467
27,2012-06-01,228.506,161.967,1338.73999033,2893.98665367
28,2006-08-01,203.8,142.4,1298.403361,2157.03336567
29,2012-02-01,228.377,157.399,1362.28666167,2951.29996733
30,2015-10-01,237.949,168.526,2086.37337233,5074.569987
31,2013-03-01,232.313,160.553,1553.80000833,3240.59667967
32,2006-04-01,200.7,140.0,1308.57999667,2333.716634
33,2014-10-01,237.651,164.23,1934.40999367,4374.389974
34,2012-10-01,231.655,162.113,1450.47998033,3060.870117
35,2010-03-01,217.353,153.358,1126.819987,2299.78002967
36,2009-07-01,214.726,153.606,983.126668,1976.853353
37,2006-09-01,202.8,143.0,1319.33003733,2236.523275
38,2014-06-01,237.016,165.117,1939.259969,4289.756673
39,2015-01-01,234.954,164.704,2006.13334133,4652.21354133
