,search_title,year
0,"10,000 B.C.",2008
1,After Earth,2013
2,The Hundred-Foot Journey,2014
3,102 Dalmatians,2000
4,127 Hours,2010
5,13 Going on 30,2004
6,13 Hours: The Secret Soldiers of Benghazi,2016
7,The 13th Warrior,1999
8,1408,2007
9,Tomorrowland,2015
10,2012,2009
11,21,2008
12,21 and Over,2013
13,21 Grams,2003
14,21 Jump Street,2012
15,22 Jump Street,2014
16,25th Hour,2002
17,27 Dresses,2008
18,28 Days,2000
19,2 Fast 2 Furious,2003
20,2 Guns,2013
21,300,2007
22,300: Rise of An Empire,2014
23,30 Days of Night,2007
24,30 Minutes or Less,2011
25,3:10 to Yuma,2007
26,The Three Burials of Melquiades Estrada,2005
27,The 40-Year-Old Virgin,2005
28,42,2013
29,47 Ronin,2013
30,50/50,2011
31,50 First Dates,2004
32,5 Days of War,2011
33,The 5th Wave,2016
34,The 6th Day,2000
35,8 Mile,2002
36,8MM,1999
37,9,2009
38,90 Minutes in Heaven,2015
39,99 Homes,2015
40,Abandon,2002
41,Abduction,2011
42,A Better Life,2011
43,About a Boy,2002
44,About Schmidt,2002
45,Abraham Lincoln: Vampire Hunter,2012
46,Accepted,2006
47,Act of Valor,2012
48,Burnt,2015
49,Adaptation.,2002
50,Admission,2013
51,Aeon Flux,2005
52,After the Sunset,2004
53,Agent Cody Banks,2003
54,Agent Cody Banks 2: Destination London,2004
55,A.I. Artificial Intelligence,2001
56,Air Force One,1997
57,Akeelah and the Bee,2006
58,A Knight's Tale,2001
59,The Alamo,2004
60,Alex and Emma,2003
61,Alexander,2004
62,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014
63,Alex Cross,2012
64,Alfie,2004
65,Ali,2001
66,Alice Through the Looking Glass,2016
67,Alice in Wonderland,2010
68,Alien 3,1992
69,Aliens in the Attic,2009
70,All About the Benjamins,2002
71,All the King's Men,2006
72,All the Pretty Horses,2000
73,Edge of Tomorrow,2014
74,Project Almanac,2015
75,Alone in the Dark,2005
76,Alone Yet Not Alone,2013
77,Along Came a Spider,2001
78,Along Came Polly,2004
79,A Long Way Off,2014
80,Alvin and the Chipmunks: Chipwrecked,2011
81,Alvin and the Chipmunks,2007
82,Alvin and the Chipmunks: The Squeakquel,2009
83,Amelia,2009
84,Amelie,2001
85,The American,2010
86,American Beauty,1999
87,An American Carol,2008
88,American Dreamz,2006
89,American Gangster,2007
90,An American Haunting,2006
91,American Pie,1999
92,American Pie 2,2001
93,American Reunion,2012
94,American Ultra,2015
95,American Wedding,2003
96,An American Werewolf in Paris,1997
97,America's Sweethearts,2001
98,Amistad,1997
99,The Amityville Horror,2005
100,Anacondas: The Hunt for the Blood Orchid,2004
101,Analyze That,2002
102,Anchorman: The Legend of Ron Burgundy,2004
103,An Everlasting Piece,2000
104,Angel Eyes,2001
105,Angels & Demons,2009
106,Anger Management,2003
107,The Angry Birds Movie,2016
108,The Animal,2001
109,Anna and the King,1999
110,Annie,2014
111,Anomalisa,2015
112,Anonymous,2011
113,Eight Below,2006
114,The Ant Bully,2006
115,Ant-Man,2015
116,Antz,1998
117,Any Given Sunday,1999
