title,link
50/50,https://www.rottentomatoes.com/m/5050_2011/?search=50/50
Abduction,https://www.rottentomatoes.com/m/abduction_2011/?search=Abduction
Alex and Emma,https://www.rottentomatoes.com/m/alex_and_emma/?search=Alex%20&%20emma
Alien 3,https://www.rottentomatoes.com/m/alien3/
Alone Yet Not Alone,https://www.rottentomatoes.com/m/alone_yet_not_alone/
A Long Way Off,https://www.rottentomatoes.com/m/a_long_way_off/?search=A%20long%20way%20off
The Artist,https://www.rottentomatoes.com/m/the_artist/
Bad Santa,https://www.rottentomatoes.com/m/bad_santa/?search=Bad%20Santa
Barnyard:The Original Party Animals,https://www.rottentomatoes.com/m/barnyard/
Batman and Robin,https://www.rottentomatoes.com/m/1077027-batman_and_robin/
Bee Movie,https://www.rottentomatoes.com/m/bee_movie/
The Best Man,https://www.rottentomatoes.com/m/1093551-best_man/
The Twilight Saga:Breaking Dawn Part 1,https://www.rottentomatoes.com/m/twilight_saga_breaking_dawn/
Bride and Prejudice,https://www.rottentomatoes.com/m/bride_andamp_prejudice/?search=Bride%20&%20Prejudice
The Call,https://www.rottentomatoes.com/m/the_call_2013/
The Cat in the Hat,https://www.rottentomatoes.com/m/cat_in_the_hat/?search=The%20Cat%20in%20the
Chicago,https://www.rottentomatoes.com/m/chicago/
Chocolat,https://www.rottentomatoes.com/m/1103080-chocolat/
I Now Pronounce You Chuck and Larry,https://www.rottentomatoes.com/m/i_now_pronounce_you_chuck_and_larry/
Circumstance,https://www.rottentomatoes.com/m/771228738/?search=Circumstance
Collateral,https://www.rottentomatoes.com/m/collateral/?search=Collateral
The Company,https://www.rottentomatoes.com/m/1128345-company/?search=The%20Company
The Crazies,https://www.rottentomatoes.com/m/1205380-crazies/
crazy/beautiful,https://www.rottentomatoes.com/m/crazy-beautiful/?search=crazy/beautiful
Creed,https://www.rottentomatoes.com/m/creed_2015/?search=Creed
Dirty,https://www.rottentomatoes.com/m/10006343-dirty/?search=Dirty
Elektra,https://www.rottentomatoes.com/m/elektra/
Empire,https://www.rottentomatoes.com/m/1118698-empire/?search=Empire
Fahrenheit 9/11,https://www.rottentomatoes.com/m/fahrenheit_911/?search=Fahrenheit
fear dot com,https://www.rottentomatoes.com/m/feardotcom_2002/
Frida,https://www.rottentomatoes.com/m/frida/
Friday the 13th (2009),https://www.rottentomatoes.com/m/friday_the_13th_prequel/
Frost/Nixon,https://www.rottentomatoes.com/m/frostnixon/
Hamlet 2,https://www.rottentomatoes.com/m/hamlet_2/
Harold and Kumar Go to White Castle,https://www.rottentomatoes.com/m/harold_and_kumar_go_to_white_castle/
Harold and Kumar Escape from Guantanamo Bay,https://www.rottentomatoes.com/m/harold_and_kumar_2/
Identity,https://www.rottentomatoes.com/m/identity/?search=Identity
The Divergent Series:Insurgent,https://www.rottentomatoes.com/m/insurgent/?search=Insurgent
John Q.,https://www.rottentomatoes.com/m/john_q/?search=John%20Qe
The Joneses,https://www.rottentomatoes.com/m/joneses/?search=The%20Joneses
Joy,https://www.rottentomatoes.com/m/joy_2014/?search=Joy
Disney's The Kid,https://www.rottentomatoes.com/m/the-kid/
George A. Romero's Land of the Dead,https://www.rottentomatoes.com/m/land_of_the_dead/
Max (2015),https://www.rottentomatoes.com/m/max_2016/
Me Myself and Irene,https://www.rottentomatoes.com/m/me_myself_and_irene/
